Status,Filed,Claim Type
Legal,2014-02-25,9 - OT
Open,2014-02-25,8 - MW;#9 - OT
Open,2014-02-25,9 - OT
Open,2014-02-25,8 - MW
Open,2014-03-04,9 - OT
Open,2014-04-02,9 - OT
Awaiting Payment,2014-03-18,9 - OT
Awaiting Payment,2014-03-18,9 - OT
Open,2014-04-02,8 - MW
Legal,2014-04-22,9 - OT
Open,2014-04-22,8 - MW
Open,2014-04-22,9 - OT
Legal,2014-03-06,8 - MW
Open,2014-04-22,8 - MW
Open,2014-04-22,9 - OT
Open,2014-04-22,9 - OT
Awaiting Payment,2014-04-22,8 - MW;#9 - OT
Awaiting Payment,2014-05-14,9 - OT
AG,2014-05-15,9 - OT
Settlement Agreement,2014-05-15,9 - OT
Open,2014-05-22,8 - MW;#9 - OT
Awaiting Payment,2014-05-22,9 - OT
Awaiting Payment,2014-06-05,9 - OT
Awaiting Payment,2014-06-05,9 - OT
Settlement Agreement,2014-06-05,9 - OT
Open,2014-06-19,9 - OT
Open,2014-06-26,8 - MW;#9 - OT
Open,2014-06-26,9 - OT
Open,2014-06-26,8 - MW;#9 - OT
Open,2014-06-26,8 - MW;#9 - OT
Awaiting Payment,2014-06-26,8 - MW;#9 - OT
Pending Referral To AG,2014-06-26,9 - OT
Awaiting Payment,2014-06-26,9 - OT
Open,2014-06-26,8 - MW;#9 - OT
Settlement Agreement,2014-06-30,8 - MW;#9 - OT
Open,2014-07-08,9 - OT
Open,2014-07-08,9 - OT
Pending Referral To AG,2014-07-08,8 - MW
Awaiting Payment,2014-07-15,9 - OT
Open,2014-07-16,9 - OT
Open,2014-07-16,9 - OT
Open,2014-07-18,9 - OT
Pending Referral To AG,2014-07-24,9 - OT
Open,2014-07-28,9 - OT
Open,2014-07-31,9 - OT
AG,2014-08-04,9 - OT
Awaiting Payment,2014-08-04,8 - MW;#9 - OT
AG,2014-08-08,9 - OT
Open,2014-08-08,9 - OT
Awaiting Payment,2014-08-08,9 - OT
Open,2014-08-15,9 - OT
AG,2014-08-15,8 - MW;#9 - OT
Awaiting Payment,2014-07-23,9 - OT
Awaiting Payment,2014-09-03,9 - OT
Awaiting Payment,2014-09-15,9 - OT
AG,2014-09-15,9 - OT
Awaiting Payment,2014-09-29,9 - OT
AG,2014-09-29,9 - OT
Pending Referral To AG,2014-09-29,9 - OT
Awaiting Payment,2014-09-29,9 - OT
Awaiting Payment,2014-10-15,9 - OT
Awaiting Payment,2014-10-15,8 - MW;#9 - OT
Awaiting Payment,2014-10-15,8 - MW
Pending Referral To AG,2014-10-22,9 - OT
Awaiting Payment,2014-10-22,8 - MW
Awaiting Payment,2014-10-22,9 - OT
AG,2014-10-29,9 - OT
AG,2014-10-29,9 - OT
Open,2014-11-12,9 - OT
AG,2014-11-12,9 - OT
Settlement Agreement,2014-11-17,9 - OT
Open,2014-11-17,9 - OT
AG,2014-11-26,8 - MW;#9 - OT
AG,2014-11-26,8 - MW;#9 - OT
AG,2014-11-26,8 - MW;#9 - OT
Awaiting Payment,2014-11-26,8 - MW;#9 - OT
Awaiting Payment,2014-11-26,9 - OT
Open,2014-11-26,8 - MW
Open,2014-11-26,8 - MW;#9 - OT
Awaiting Payment,2014-12-01,9 - OT
Open,2014-12-02,9 - OT
Open,2014-12-02,9 - OT
Legal,2014-12-03,9 - OT
Awaiting Payment,2014-12-03,9 - OT
AG,2014-12-05,8 - MW
Pending Referral To AG,2014-12-05,9 - OT
Legal,2014-12-05,8 - MW;#9 - OT
AG,2014-12-09,9 - OT
AG,2014-12-10,9 - OT
Awaiting Payment,2014-12-10,9 - OT
Awaiting Payment,2014-12-10,9 - OT
AG,2014-12-30,9 - OT
Awaiting Payment,2015-01-22,9 - OT
Open,2015-01-28,9 - OT
Open,2015-01-28,9 - OT
Settlement Agreement,2015-01-29,8 - MW;#9 - OT
Settlement Agreement,2015-01-29,8 - MW;#9 - OT
Awaiting Payment,2015-03-04,8 - MW;#9 - OT
AG,2015-03-05,9 - OT
Awaiting Payment,2015-04-02,8 - MW;#9 - OT
Open,2015-04-01,9 - OT
Open,2015-01-26,9 - OT
Open,2015-01-13,9 - OT
Open,2015-01-26,9 - OT
Legal,2015-03-19,9 - OT
AG,2015-03-11,9 - OT
Legal,2015-05-13,8 - MW;#9 - OT
AG,2015-04-01,9 - OT
AG,2015-04-06,8 - MW
Open,2015-04-13,8 - MW;#9 - OT
Awaiting Payment,2015-04-01,9 - OT
Awaiting Payment,2015-04-28,8 - MW;#9 - OT
Pending Referral To AG,2015-03-16,9 - OT
Legal,2015-04-08,9 - OT
Awaiting Payment,2015-05-14,9 - OT
Legal,2015-06-01,9 - OT
Legal,2015-05-21,8 - MW
Legal,2015-04-20,8 - MW;#9 - OT
Settlement Agreement,2015-04-22,9 - OT
Awaiting Payment,2015-06-05,9 - OT
Pending Referral To AG,2015-08-28,9 - OT
Awaiting Payment,2015-08-21,8 - MW
Open,2015-06-30,9 - OT
Legal,2015-06-16,9 - OT
AG,2015-06-22,9 - OT
Open,2015-07-01,9 - OT
Open,2015-07-17,9 - OT
Settlement Agreement,2015-07-21,9 - OT
Awaiting Payment,2015-07-20,9 - OT
AG,2015-07-28,9 - OT
Awaiting Payment,2015-07-31,8 - MW;#9 - OT
Awaiting Payment,2015-08-04,9 - OT
Legal,2015-08-13,9 - OT
Pending Referral To AG,2015-08-14,9 - OT
Open,2015-08-25,8 - MW;#9 - OT
AG,2015-08-26,8 - MW;#9 - OT
Awaiting Payment,2015-08-24,9 - OT
Legal,2015-07-13,9 - OT
Legal,2015-09-08,9 - OT
Open,2015-08-07,9 - OT
Awaiting Payment,2015-09-08,9 - OT
Open,2015-09-08,9 - OT
Settlement Agreement,2015-09-09,9 - OT
Open,2015-09-14,9 - OT
Open,2015-09-18,9 - OT
Pending Referral To AG,2015-09-29,9 - OT
Open,2015-09-22,9 - OT
Open,2015-09-23,9 - OT
Open,2015-10-08,9 - OT
Awaiting Payment,2015-10-18,9 - OT
Open,2015-10-27,9 - OT
Open,2015-10-21,9 - OT
Open,2015-10-22,9 - OT
Open,2015-10-22,9 - OT
Open,2015-10-22,9 - OT
Open,2015-10-22,9 - OT
Open,2015-10-21,9 - OT
Open,2015-11-06,8 - MW;#9 - OT
Awaiting Payment,2015-11-10,9 - OT
Pending Referral To AG,2015-11-09,9 - OT
Open,2015-11-02,8 - MW
Legal,2015-11-16,9 - OT
Open,2015-08-04,9 - OT
Settlement Agreement,2015-11-20,9 - OT
AG,2015-12-11,8 - MW;#9 - OT
Pending Referral To AG,2015-12-11,9 - OT
Open,2015-12-15,9 - OT
Pending Referral To AG,2015-12-09,9 - OT
Pending Referral To AG,2015-12-18,9 - OT
Settlement Agreement,2016-01-11,9 - OT
Open,2016-02-04,8 - MW;#9 - OT
Open,2015-12-16,9 - OT
Open,2015-10-07,9 - OT
AG,2015-12-01,8 - MW;#9 - OT
Open,2014-03-21,9 - OT
Awaiting Payment,2016-01-22,9 - OT
Open,2016-01-14,9 - OT
Open,2016-01-15,9 - OT
Open,2016-01-22,9 - OT
Legal,2016-01-25,9 - OT
Open,2016-01-27,9 - OT
Awaiting Payment,2016-03-28,9 - OT
Open,2016-03-29,9 - OT
Pending Referral To AG,2016-03-29,9 - OT
Open,2016-03-31,9 - OT
Open,2016-03-31,8 - MW
Pending Referral To AG,2016-03-31,9 - OT
Open,2016-03-31,9 - OT
Awaiting Payment,2016-03-31,9 - OT
Open,2016-03-31,8 - MW
Open,2016-04-09,9 - OT
Awaiting Payment,2016-04-09,9 - OT
Awaiting Payment,2016-04-09,9 - OT
Awaiting Payment,2016-04-09,8 - MW;#9 - OT
Awaiting Payment,2016-04-09,9 - OT
Open,2016-04-09,9 - OT
Open,2016-04-09,9 - OT
Open,2016-04-09,9 - OT
Open,2016-04-09,9 - OT
Open,2016-04-13,9 - OT
Open,2016-04-13,8 - MW
Open,2016-03-16,9 - OT
Open,2016-03-24,9 - OT
Open,2016-03-21,9 - OT
Open,2016-03-21,9 - OT
Awaiting Payment,2016-03-17,9 - OT
Open,2016-03-24,9 - OT
Awaiting Payment,2015-07-27,9 - OT
Open,2016-03-28,9 - OT
Open,2016-03-23,9 - OT
Open,2016-04-22,8 - MW;#9 - OT
Open,2015-10-22,8 - MW
Pending Referral To AG,2016-05-23,9 - OT
Open,2016-05-23,9 - OT
Open,2016-05-23,9 - OT
Open,2016-05-23,9 - OT
Open,2016-06-03,9 - OT
Open,2016-05-23,9 - OT
Awaiting Payment,2016-05-23,9 - OT
Awaiting Payment,2016-05-23,9 - OT
Open,2016-06-03,9 - OT
Awaiting Payment,2016-05-02,9 - OT
Open,2016-06-22,9 - OT
Open,2016-06-20,9 - OT
Settlement Agreement,2016-06-20,9 - OT
Awaiting Payment,2016-06-20,9 - OT
Open,2016-06-21,9 - OT
Open,2016-06-21,9 - OT
Open,2016-05-18,9 - OT
Open,2016-05-31,9 - OT
Open,2016-05-27,9 - OT
Open,2016-06-30,9 - OT
Pending Referral To AG,2016-06-30,9 - OT
Awaiting Payment,2016-06-30,8 - MW
Open,2016-05-10,9 - OT
Open,2016-06-30,8 - MW;#9 - OT
Open,2016-07-07,9 - OT
Open,2016-07-07,9 - OT
Open,2016-06-13,9 - OT
Open,2016-06-13,9 - OT
Open,2016-06-13,9 - OT
Open,2016-06-10,8 - MW;#9 - OT
Open,2016-06-24,9 - OT
Open,2016-06-27,9 - OT
Open,2016-06-27,9 - OT
Open,2016-06-27,9 - OT
Open,2016-07-29,9 - OT
Open,2016-06-23,9 - OT
Awaiting Payment,2016-01-04,9 - OT
Open,2016-07-18,9 - OT
Open,2014-03-20,9 - OT
Open,2015-12-28,9 - OT
Open,2016-06-20,9 - OT
Open,2016-06-27,9 - OT
Open,2016-06-07,9 - OT
Open,2016-06-13,8 - MW
Open,2016-07-01,9 - OT
Open,2016-07-05,9 - OT
Settlement Agreement,2016-07-01,9 - OT
Awaiting Payment,2016-07-11,9 - OT
Awaiting Payment,2016-07-21,9 - OT
Open,2016-07-20,9 - OT
Open,2016-07-25,9 - OT
Open,2016-07-25,9 - OT
Open,2016-07-05,9 - OT
Open,2016-07-18,9 - OT
Open,2016-07-21,9 - OT
Awaiting Payment,2016-07-18,9 - OT
Open,2016-07-18,9 - OT
Open,2016-07-07,9 - OT
Open,2016-07-29,8 - MW;#9 - OT
Open,2016-07-07,9 - OT
Open,2016-08-01,9 - OT
Awaiting Payment,2016-09-09,9 - OT
Open,2016-08-22,9 - OT
Open,2016-09-22,9 - OT
Open,2016-09-09,9 - OT
Open,2016-08-23,9 - OT
Open,2016-08-25,9 - OT
Open,2016-08-29,9 - OT
Open,2016-08-29,9 - OT
Open,2016-09-12,9 - OT
Open,2016-08-15,8 - MW
Open,2016-08-05,9 - OT
Awaiting Payment,2016-08-08,9 - OT
Open,2016-05-13,9 - OT
Awaiting Payment,2016-08-05,9 - OT
Awaiting Payment,2016-08-05,9 - OT
Awaiting Payment,2016-08-01,9 - OT
Open,2016-08-04,8 - MW;#9 - OT
Open,2016-08-01,9 - OT
Open,2016-08-19,9 - OT
Open,2016-08-18,9 - OT
Open,2016-08-04,9 - OT
Open,2016-09-21,9 - OT
Open,2016-09-19,8 - MW
Awaiting Payment,2016-09-02,9 - OT
Open,2016-07-18,9 - OT
Awaiting Payment,2016-09-14,9 - OT
Open,2016-09-15,9 - OT
Open,2016-09-09,9 - OT
Open,2016-09-16,9 - OT
Open,2016-11-02,9 - OT
Open,2016-11-07,9 - OT
Open,2016-11-07,9 - OT
Open,2016-11-07,9 - OT
Awaiting Payment,2016-11-07,9 - OT
Open,2016-09-26,9 - OT
Open,2016-09-02,9 - OT
Open,2016-07-15,9 - OT
Open,2016-10-11,9 - OT
Open,2016-10-04,9 - OT
Open,2016-10-24,9 - OT
Open,2016-10-03,9 - OT
Open,2016-01-05,8 - MW
Open,2016-10-11,9 - OT
Open,2016-10-19,9 - OT
Open,2016-10-03,9 - OT
Awaiting Payment,2016-08-09,9 - OT
Open,2016-10-03,9 - OT
Open,2016-10-04,9 - OT
Awaiting Payment,2016-09-01,9 - OT
Open,2016-10-12,9 - OT
Open,2016-09-28,9 - OT
Open,2016-10-19,9 - OT
Open,2016-10-20,9 - OT
Open,2016-10-25,9 - OT
Open,2016-09-26,9 - OT
Open,2016-10-03,9 - OT
Open,2016-09-21,9 - OT
Open,2016-09-26,9 - OT
Open,2016-11-02,9 - OT
Awaiting Payment,2016-11-02,9 - OT
Open,2016-09-26,8 - MW;#9 - OT
Open,2016-02-02,9 - OT
Open,2016-07-15,9 - OT
Open,2016-09-26,9 - OT
Open,2016-10-31,9 - OT
Open,2016-10-20,9 - OT
Open,2016-11-07,9 - OT
Open,2016-11-04,9 - OT
Open,2016-11-03,9 - OT
Open,2016-11-07,8 - MW
Open,2016-10-31,9 - OT
Open,2016-11-02,9 - OT
Open,2016-11-02,9 - OT
Open,2016-10-18,9 - OT
Open,2016-11-04,9 - OT
Open,2016-11-04,9 - OT
Open,2016-11-28,9 - OT
Open,2016-10-31,9 - OT
Open,2016-11-23,8 - MW
Open,2016-11-22,9 - OT
Open,2016-11-22,9 - OT
Open,2016-11-23,9 - OT
Open,2016-11-14,8 - MW
Open,2016-12-02,9 - OT
Awaiting Payment,2016-12-05,9 - OT
Open,2016-12-05,9 - OT
Open,2016-12-07,9 - OT
Open,2016-12-01,9 - OT
Open,2016-12-04,9 - OT
Open,2016-12-06,8 - MW
Open,2016-10-07,9 - OT
Open,2016-11-16,9 - OT
Open,2016-12-15,9 - OT
Open,2016-09-27,9 - OT
Open,2016-05-10,9 - OT
Open,2016-12-05,8 - MW
Open,2016-12-15,9 - OT
Open,2016-12-16,9 - OT
Awaiting Payment,2016-12-13,9 - OT
Open,2016-12-12,9 - OT
Open,2016-12-19,8 - MW;#9 - OT
Open,2016-11-22,9 - OT
Open,2016-07-11,9 - OT
Open,2016-08-08,9 - OT
Open,2016-10-31,9 - OT
Open,2016-01-20,9 - OT
Open,2016-12-28,9 - OT
Open,2016-12-27,9 - OT
Open,2016-12-19,9 - OT
Open,2016-12-23,8 - MW;#9 - OT
Open,2016-11-27,9 - OT
Open,2016-12-21,9 - OT
Open,2016-11-29,9 - OT
Open,2016-10-02,9 - OT
Open,2016-12-21,9 - OT
Open,2016-12-23,9 - OT
Open,2016-06-28,8 - MW
Open,2017-01-09,9 - OT
Open,2016-08-30,8 - MW;#9 - OT
Open,2017-01-04,9 - OT
Open,2016-12-07,9 - OT
Open,2016-11-30,9 - OT
Open,2016-12-15,9 - OT
Open,2017-01-01,9 - OT
Open,2017-01-03,9 - OT
Open,2017-01-05,9 - OT
Open,2016-11-17,9 - OT
Open,2017-01-08,9 - OT
Open,2016-12-02,8 - MW
Open,2016-12-05,9 - OT
Open,2016-11-28,9 - OT
Open,2017-01-06,9 - OT
Awaiting Payment,2016-12-06,9 - OT
Open,2017-01-09,9 - OT
Open,2016-12-20,9 - OT
Open,2016-12-15,9 - OT
Open,2017-01-24,9 - OT
Open,2017-01-17,8 - MW
Open,2017-01-12,9 - OT
Open,2017-01-12,9 - OT
Open,2017-01-06,9 - OT
Open,2017-01-26,9 - OT
Open,2017-01-23,9 - OT
Open,2017-01-20,9 - OT
Open,2017-01-30,9 - OT
Open,2017-01-26,9 - OT
Open,2017-01-26,9 - OT
Open,2017-01-05,9 - OT
Open,2017-01-09,9 - OT
Open,2017-01-04,9 - OT
Open,2017-02-07,8 - MW;#9 - OT
Open,2017-02-09,9 - OT
Open,2017-02-03,9 - OT
Open,2017-02-02,9 - OT
Open,2017-02-03,9 - OT
Open,2017-02-08,9 - OT
Open,2017-02-01,9 - OT
Open,2017-01-26,8 - MW
Open,2017-01-09,9 - OT
Open,2017-02-02,8 - MW
Open,2017-01-23,9 - OT
Open,2017-02-17,9 - OT
Open,2017-02-06,9 - OT
Open,2017-01-19,8 - MW
Open,2017-01-12,9 - OT
Open,2017-01-27,9 - OT
Open,2017-02-13,9 - OT
Open,2017-02-06,9 - OT
Open,2017-02-08,8 - MW
Open,2017-02-06,9 - OT
Open,2017-02-03,9 - OT
Open,2017-02-21,9 - OT
Open,2017-02-17,9 - OT
Open,2017-01-31,9 - OT
Open,2017-02-27,8 - MW
Open,2017-02-27,9 - OT
Open,2017-02-13,9 - OT
Open,2017-02-19,9 - OT
Open,2017-02-21,9 - OT
Open,2017-01-31,9 - OT
Open,2017-02-23,8 - MW;#9 - OT
Open,2017-02-27,8 - MW
Open,2017-02-07,8 - MW
Open,2017-02-09,8 - MW;#9 - OT
Open,2017-02-24,9 - OT
Open,2016-09-23,9 - OT
Open,2017-01-31,9 - OT
Open,2017-02-28,9 - OT
Open,2017-03-03,8 - MW
Open,2017-03-06,8 - MW;#9 - OT
Open,2017-03-07,8 - MW
Open,2017-03-08,9 - OT
Open,2017-03-08,9 - OT
Open,2017-03-08,9 - OT
Open,2017-03-17,9 - OT
Open,2017-03-13,9 - OT
Open,2017-03-10,9 - OT
Open,2017-03-01,9 - OT
Open,2017-02-28,9 - OT
Open,2017-03-06,9 - OT
Open,2017-03-08,8 - MW;#9 - OT
Open,2017-03-17,9 - OT
Open,2017-03-13,9 - OT
Open,2017-03-13,9 - OT
Open,2017-03-14,9 - OT
Open,2017-03-14,9 - OT
